number,name
2027 CIP NEW,2027 CIP NEW PROJECT REQUEST FORM
2027 PROP INV,2027 HPD PROPERTY INVENTORY/PLANNING SURVEY
DIAGRAM-HPD INCIDENT,DIAGRAM: HPD INCIDENT REPORT DIAGRAM TEMPLATE (Vertical)
DIAGRAM-HPD MVC,DIAGRAM: HPD MVC DIAGRAM TEMPLATE (Horizontal)
HPD-001,"ABSTRACT OF
  CRIMINAL RECORD"
HPD-002,FIREARMS  RECORD
HPD-002A,QUALIFICATION  SCORE SHEET-COMBAT COURSE
HPD-002B,"SHOTGUN
  QUALIFICATION SCORE SHEET"
HPD-009,COMMUNICATIONS DIVISION HIGHLIGHTS
HPD-009-1,COMMUNICATIONS DIVISION HIGHLIGHTS-Noteworthy Cases
HPD-009A,"DOR-OBSERVATION
  AND TRAINING NARRATIVE"
HPD-009B,"DOR-WEEKLY
  SUMMARY REPORT"
HPD-009C,"TRAINING
  PERFORMANCE TALLY SHEET"
HPD-009D,"FALSE
  EMERGENCY DECLARATION"
HPD-009E,MOTOR VEHICLE PURSUIT - For PCO
HPD-009EE,MOTOR VEHICLE PURSUIT-For LT and PCO IV
HPD-009F,EMPLOYEE INVOLVED IN DOMESTIC VIOLENCE CASE
HPD-009G,COMMUNICATIONS DAILY ROSTER
HPD-011,JUVENILES - CONSTITUTIONAL RIGHTS (CRS)
"HPD-011, Chinese",JUVENILES - CONTSTITUTIONAL RIGHTS (CHINESE)
"HPD-011, Chuukese",JUVENILES - CONTSTITUTIONAL RIGHTS (CHUUKESE)
"HPD-011, Ilokano",JUVENILES - CONSTITUTIONAL RIGHTS (ILOKANO)
"HPD-011, Japanese",JUVENILES - CONSTITUTIONAL RIGHTS (JAPANESE)
"HPD-011, Korean",JUVENILES - CONSTITUTIONAL RIGHTS (KOREAN)
"HPD-011, Laotian",JUVENILES - CONSTITUTIONAL RIGHTS (LAOTIAN)
"HPD-011, Marshallese",JUVENILES - CONSTITUTIONAL RIGHTS (MARSHALLESE)
"HPD-011, Samoan",JUVENILES - CONSTITUTIONAL RIGHTS (SAMOAN)
"HPD-011, Spanish",JUVENILES - CONSTITUTIONAL RIGHTS (SPANISH)
"HPD-011, Tagalog",JUVENILES - CONSTITUTIONAL RIGHTS (TAGALOG)
